map_file_name,paths_file_name,adv_agent_id,adv_damage_steps,ms_original_path,ms_mdr_path,mdr_expanded_nodes,mdr_visited_nodes,mdr_run_time_seconds,comment
data/Room1_56x55.txt,000.path,1,1,37,38,31,142,10.8237302,
data/Room1_56x55.txt,000.path,1,2,37,39,1398,6298,210.9623347,
data/Room1_56x55.txt,000.path,2,1,37,38,32,146,9.889679400000006,
data/Room1_56x55.txt,000.path,2,2,37,39,1483,6639,214.16464119999998,
data/Room1_56x55.txt,000.path,3,1,37,38,31,142,10.210175800000002,
data/Room1_56x55.txt,000.path,3,2,37,39,1371,6166,240.0316798,
data/Room1_56x55.txt,000.path,4,1,37,38,33,161,9.215959000000026,
data/Room1_56x55.txt,000.path,4,2,37,39,1697,7731,193.40548840000002,
data/Room1_56x55.txt,000.path,5,1,33,34,37,177,7.451053699999989,
data/Room1_56x55.txt,000.path,5,2,33,35,1877,8574,170.08618069999994,
data/Room1_56x55.txt,001.path,5,1,34,35,35,161,9.7332459,
data/Room1_56x55.txt,001.path,5,2,34,36,1778,8048,178.9528488,
data/Room1_56x55.txt,001.path,4,1,35,36,31,143,9.863810700000016,
data/Room1_56x55.txt,001.path,4,2,35,37,1417,6434,196.38807689999996,
data/Room1_56x55.txt,001.path,1,1,35,36,32,147,8.029047099999957,
data/Room1_56x55.txt,001.path,1,2,35,37,1482,6679,168.7527758,
data/Room1_56x55.txt,001.path,2,1,35,36,34,163,8.274080499999997,
data/Room1_56x55.txt,001.path,2,2,35,37,1666,7493,169.828665,
data/Room1_56x55.txt,001.path,3,1,35,36,31,151,10.279531099999986,
data/Room1_56x55.txt,001.path,3,2,35,37,1509,6814,226.88936440000003,
data/Room1_56x55.txt,002.path,2,1,37,38,32,146,12.538664100000005,
data/Room1_56x55.txt,002.path,2,2,37,39,1483,6639,210.6789485,
data/Room1_56x55.txt,002.path,4,1,37,38,31,143,10.69122649999997,
data/Room1_56x55.txt,002.path,4,2,37,39,1417,6434,202.8634151,
data/Room1_56x55.txt,002.path,1,1,37,38,32,156,12.078510400000027,
data/Room1_56x55.txt,002.path,1,2,37,39,1570,7108,220.25365949999997,
data/Room1_56x55.txt,002.path,3,1,37,38,31,142,10.941445700000031,
data/Room1_56x55.txt,002.path,3,2,37,39,1384,6232,253.45199779999996,
data/Room1_56x55.txt,002.path,5,1,32,32,37,180,8.576905499999953,
data/Room1_56x55.txt,002.path,5,2,32,33,1950,8840,192.2513907,
data/Room1_56x55.txt,003.path,5,1,34,35,35,161,7.47816720000003,
