map_file_name,paths_file_name,adv_agent_id,adv_damage_steps,ms_original_path,ms_mdr_path,mdr_expanded_nodes,mdr_visited_nodes,mdr_run_time_seconds,comment
data/Room1_56x55.txt,008.path,4,1,9,9,9,49,0.8835017999999977,
data/Room1_56x55.txt,008.path,4,2,9,9,201,1064,3.2536976999999965,
data/Room1_56x55.txt,009.path,1,1,9,10,8,43,0.8860270000000057,
data/Room1_56x55.txt,009.path,1,2,9,11,148,750,2.3427083000000053,
data/Room1_56x55.txt,009.path,4,1,9,9,9,49,0.7579745000000031,
data/Room1_56x55.txt,009.path,4,2,9,9,201,1064,3.1084968999999987,
data/Room1_56x55.txt,009.path,2,1,9,10,8,43,0.7267359000000013,
data/Room1_56x55.txt,009.path,2,2,9,11,148,751,2.0621372000000022,
data/Room1_56x55.txt,009.path,3,1,9,10,9,51,0.43637760000000014,
data/Room1_56x55.txt,009.path,3,2,9,11,182,975,1.3297814999999957,
