map_file_name,paths_file_name,adv_agent_id,adv_damage_steps,ms_original_path,ms_mdr_path,mdr_expanded_nodes,mdr_visited_nodes,mdr_run_time_seconds,comment
data/Room1_56x55.txt,000.path,1,1,32,33,31,142,3.313205,
data/Room1_56x55.txt,000.path,1,2,32,34,1398,6298,78.2768048,
data/Room1_56x55.txt,000.path,2,1,31,32,32,146,3.3815084000000013,
data/Room1_56x55.txt,000.path,2,2,31,33,1483,6639,80.75862220000002,
data/Room1_56x55.txt,000.path,3,1,32,33,31,142,3.2829002999999997,
data/Room1_56x55.txt,000.path,3,2,32,34,1371,6166,80.8022837,
data/Room1_56x55.txt,001.path,3,1,32,33,29,133,3.509662199999994,
data/Room1_56x55.txt,001.path,3,2,32,34,1242,5583,76.13081600000001,
data/Room1_56x55.txt,001.path,1,1,32,33,31,151,3.5764559999999994,
data/Room1_56x55.txt,001.path,1,2,32,34,1520,6871,80.1244296,
data/Room1_56x55.txt,001.path,2,1,31,31,32,146,3.0549508000000003,
data/Room1_56x55.txt,001.path,2,2,31,31,1483,6639,72.8649248,
data/Room1_56x55.txt,002.path,3,1,32,33,29,133,3.3374591000000002,
data/Room1_56x55.txt,002.path,3,2,32,34,1242,5583,75.69738960000001,
data/Room1_56x55.txt,002.path,1,1,32,33,31,151,3.639898500000001,
data/Room1_56x55.txt,002.path,1,2,32,34,1520,6871,81.24232560000002,
data/Room1_56x55.txt,002.path,2,1,31,31,32,146,3.291402099999999,
data/Room1_56x55.txt,002.path,2,2,31,31,1483,6639,72.4839131,
data/Room1_56x55.txt,003.path,3,1,32,33,29,133,4.33659990000001,
data/Room1_56x55.txt,003.path,3,2,32,34,1242,5583,83.87918880000001,
data/Room1_56x55.txt,003.path,1,1,32,33,31,151,3.650050900000025,
data/Room1_56x55.txt,003.path,1,2,32,34,1520,6871,84.3832942,
data/Room1_56x55.txt,003.path,2,1,31,31,32,146,3.809927700000003,
data/Room1_56x55.txt,003.path,2,2,31,31,1483,6639,76.91845159999997,
data/Room1_56x55.txt,004.path,1,1,32,33,31,142,3.488679200000007,
data/Room1_56x55.txt,004.path,1,2,32,34,1398,6298,82.9563379,
data/Room1_56x55.txt,004.path,2,1,31,32,32,146,4.2253056999999785,
data/Room1_56x55.txt,004.path,2,2,31,33,1483,6639,85.86749530000003,
data/Room1_56x55.txt,004.path,3,1,32,33,31,142,3.3820754000000193,
data/Room1_56x55.txt,004.path,3,2,32,34,1371,6166,85.10135839999998,
data/Room1_56x55.txt,005.path,2,1,31,31,32,146,3.828158299999984,
data/Room1_56x55.txt,005.path,2,2,31,31,1483,6639,76.6458318,
data/Room1_56x55.txt,005.path,3,1,32,33,29,133,3.3732211000000234,
data/Room1_56x55.txt,005.path,3,2,32,34,1242,5583,74.76945010000003,
data/Room1_56x55.txt,005.path,1,1,32,33,31,151,3.681067799999994,
data/Room1_56x55.txt,005.path,1,2,32,34,1520,6871,79.48294630000004,
data/Room1_56x55.txt,006.path,1,1,32,33,31,142,3.5439284999999927,
data/Room1_56x55.txt,006.path,1,2,32,34,1398,6298,78.2335875,
data/Room1_56x55.txt,006.path,2,1,31,32,32,146,3.3965575000000285,
data/Room1_56x55.txt,006.path,2,2,31,33,1483,6639,79.38886259999998,
data/Room1_56x55.txt,006.path,3,1,32,33,31,142,3.674370100000033,
data/Room1_56x55.txt,006.path,3,2,32,34,1371,6166,80.60289170000004,
data/Room1_56x55.txt,007.path,1,1,32,33,31,142,3.460063200000036,
data/Room1_56x55.txt,007.path,1,2,32,34,1398,6298,77.98458959999999,
data/Room1_56x55.txt,007.path,2,1,31,32,32,146,3.5358896999999843,
data/Room1_56x55.txt,007.path,2,2,31,33,1483,6639,79.77961479999999,
data/Room1_56x55.txt,007.path,3,1,32,33,31,142,3.595745000000022,
data/Room1_56x55.txt,007.path,3,2,32,34,1371,6166,80.36341920000007,
data/Room1_56x55.txt,008.path,1,1,32,33,31,142,3.451070399999992,
data/Room1_56x55.txt,008.path,1,2,32,34,1398,6298,67.61937990000001,
data/Room1_56x55.txt,008.path,2,1,31,32,32,146,2.767714500000011,
data/Room1_56x55.txt,008.path,2,2,31,33,1483,6639,65.62499779999996,
data/Room1_56x55.txt,008.path,3,1,32,33,31,142,3.4371441999999774,
data/Room1_56x55.txt,008.path,3,2,32,34,1371,6166,67.02092009999996,
data/Room1_56x55.txt,009.path,1,1,33,34,31,142,2.771073400000091,
data/Room1_56x55.txt,009.path,1,2,33,35,1280,5744,57.210328300000015,
data/Room1_56x55.txt,009.path,3,1,33,34,30,138,3.629406299999971,
data/Room1_56x55.txt,009.path,3,2,33,35,1084,4829,50.02068340000005,
data/Room1_56x55.txt,009.path,2,1,31,31,33,151,2.6831230000000232,
data/Room1_56x55.txt,009.path,2,2,31,32,1570,7032,68.06329670000002,
