map_file_name,paths_file_name,adv_agent_id,adv_damage_steps,ms_original_path,ms_mdr_path,mdr_expanded_nodes,mdr_visited_nodes,mdr_run_time_seconds,comment
data/Room1_56x55.txt,000.path,1,1,33,34,32,164,3.3175776,
data/Room1_56x55.txt,000.path,1,2,33,35,1748,8713,94.3741922,
data/Room1_56x55.txt,000.path,2,1,33,34,32,165,3.8566326999999916,
data/Room1_56x55.txt,000.path,2,2,33,35,1749,8834,108.14017790000001,
data/Room1_56x55.txt,000.path,3,1,32,32,33,168,3.059756,
data/Room1_56x55.txt,000.path,3,2,32,32,1822,9100,88.119535,
data/Room1_56x55.txt,001.path,2,1,33,34,32,165,3.759014899999997,
data/Room1_56x55.txt,001.path,2,2,33,35,1749,8834,114.1508393,
data/Room1_56x55.txt,001.path,3,1,32,32,33,168,3.1456011000000004,
data/Room1_56x55.txt,001.path,3,2,32,32,1822,9100,89.7671617,
data/Room1_56x55.txt,001.path,1,1,33,34,32,164,3.3286990999999944,
data/Room1_56x55.txt,001.path,1,2,33,35,1748,8713,98.95574920000001,
data/Room1_56x55.txt,002.path,3,1,32,32,33,168,3.0645258999999996,
data/Room1_56x55.txt,002.path,3,2,32,32,1822,9100,89.7847739,
data/Room1_56x55.txt,002.path,2,1,33,34,32,165,3.7948049000000026,
data/Room1_56x55.txt,002.path,2,2,33,35,1749,8834,114.0419221,
data/Room1_56x55.txt,002.path,1,1,33,34,32,164,3.3051718999999764,
data/Room1_56x55.txt,002.path,1,2,33,35,1748,8713,93.38310580000001,
data/Room1_56x55.txt,003.path,1,1,33,34,32,164,3.3098853999999847,
data/Room1_56x55.txt,003.path,1,2,33,35,1748,8713,95.36648319999995,
data/Room1_56x55.txt,003.path,2,1,33,34,32,165,4.085299400000025,
data/Room1_56x55.txt,003.path,2,2,33,35,1749,8834,103.61151270000002,
data/Room1_56x55.txt,003.path,3,1,32,32,33,168,3.1254883999999947,
data/Room1_56x55.txt,003.path,3,2,32,32,1822,9100,88.56531440000003,
data/Room1_56x55.txt,004.path,1,1,33,34,32,164,3.208774300000016,
data/Room1_56x55.txt,004.path,1,2,33,35,1748,8713,95.34128709999999,
data/Room1_56x55.txt,004.path,3,1,32,32,33,168,3.0113183999999933,
data/Room1_56x55.txt,004.path,3,2,32,32,1822,9100,88.73609700000003,
data/Room1_56x55.txt,004.path,2,1,33,34,32,165,4.1394379000000185,
data/Room1_56x55.txt,004.path,2,2,33,35,1749,8834,103.867043,
data/Room1_56x55.txt,005.path,1,1,33,34,32,164,3.235196299999984,
data/Room1_56x55.txt,005.path,1,2,33,35,1748,8713,93.82121550000005,
data/Room1_56x55.txt,005.path,2,1,33,34,32,165,3.5630272999999875,
data/Room1_56x55.txt,005.path,2,2,33,35,1749,8834,104.11298039999997,
data/Room1_56x55.txt,005.path,3,1,32,32,33,168,2.9616298999999913,
data/Room1_56x55.txt,005.path,3,2,32,32,1822,9100,88.63482400000004,
data/Room1_56x55.txt,006.path,1,1,33,34,32,164,3.1718989999999962,
data/Room1_56x55.txt,006.path,1,2,33,35,1748,8713,95.96029130000005,
data/Room1_56x55.txt,006.path,2,1,33,34,32,165,3.7595490000000495,
data/Room1_56x55.txt,006.path,2,2,33,35,1749,8834,104.15610019999997,
data/Room1_56x55.txt,006.path,3,1,32,32,33,168,3.039235099999985,
data/Room1_56x55.txt,006.path,3,2,32,32,1822,9100,89.78315270000002,
data/Room1_56x55.txt,007.path,3,1,32,32,33,168,3.192868399999952,
data/Room1_56x55.txt,007.path,3,2,32,32,1822,9100,88.72874430000002,
data/Room1_56x55.txt,007.path,1,1,33,34,32,164,3.366857799999991,
data/Room1_56x55.txt,007.path,1,2,33,35,1748,8713,94.69752059999996,
data/Room1_56x55.txt,007.path,2,1,33,34,32,165,3.7740532999999914,
data/Room1_56x55.txt,007.path,2,2,33,35,1749,8834,110.5852519,
data/Room1_56x55.txt,008.path,3,1,32,32,33,168,3.3850735000000896,
data/Room1_56x55.txt,008.path,3,2,32,32,1822,9100,84.66095040000005,
data/Room1_56x55.txt,008.path,1,1,33,34,32,164,3.5116421000000173,
data/Room1_56x55.txt,008.path,1,2,33,35,1748,8713,77.46510169999999,
data/Room1_56x55.txt,008.path,2,1,33,34,32,165,4.036324400000012,
data/Room1_56x55.txt,008.path,2,2,33,35,1749,8834,104.4199635,
data/Room1_56x55.txt,009.path,2,1,33,34,32,165,3.464863600000058,
data/Room1_56x55.txt,009.path,2,2,33,35,1749,8834,77.85119810000003,
data/Room1_56x55.txt,009.path,3,1,32,32,33,168,3.146741600000041,
data/Room1_56x55.txt,009.path,3,2,32,32,1822,9100,85.57887139999991,
data/Room1_56x55.txt,009.path,1,1,33,34,32,164,3.054251200000067,
data/Room1_56x55.txt,009.path,1,2,33,35,1748,8713,73.98737349999999,
