map_file_name,paths_file_name,adv_agent_id,adv_damage_steps,ms_original_path,ms_mdr_path,mdr_expanded_nodes,mdr_visited_nodes,mdr_run_time_seconds,comment
data/Room1_56x55.txt,000.path,1,1,33,34,31,142,4.4571532000000005,
data/Room1_56x55.txt,000.path,1,2,33,35,1398,6298,109.2826015,
data/Room1_56x55.txt,000.path,2,1,33,34,32,146,4.6028321000000005,
data/Room1_56x55.txt,000.path,2,2,33,35,1483,6639,106.32085799999999,
data/Room1_56x55.txt,000.path,3,1,33,34,31,142,4.729007700000011,
data/Room1_56x55.txt,000.path,3,2,33,35,1371,6166,110.9300895,
data/Room1_56x55.txt,000.path,4,1,32,33,33,161,5.413128300000011,
data/Room1_56x55.txt,000.path,4,2,32,34,1697,7731,121.81002109999999,
data/Room1_56x55.txt,001.path,3,1,33,34,29,133,4.860785899999996,
data/Room1_56x55.txt,001.path,3,2,33,35,1242,5583,120.05730809999997,
data/Room1_56x55.txt,001.path,4,1,33,34,32,149,4.3143270000000005,
data/Room1_56x55.txt,001.path,4,2,33,35,1500,6810,105.9784684,
data/Room1_56x55.txt,001.path,2,1,32,33,33,151,4.243402500000002,
data/Room1_56x55.txt,001.path,2,2,32,34,1570,7032,98.31263270000001,
data/Room1_56x55.txt,001.path,1,1,33,34,31,151,5.852778400000005,
data/Room1_56x55.txt,001.path,1,2,33,35,1520,6871,121.51539629999999,
data/Room1_56x55.txt,002.path,4,1,33,34,31,143,5.004500500000006,
data/Room1_56x55.txt,002.path,4,2,33,35,1417,6434,107.03544720000002,
data/Room1_56x55.txt,002.path,3,1,33,34,30,138,5.832481400000006,
data/Room1_56x55.txt,002.path,3,2,33,35,1323,5952,123.0984325,
data/Room1_56x55.txt,002.path,2,1,32,32,33,151,5.091623999999996,
data/Room1_56x55.txt,002.path,2,2,32,32,1573,7047,131.25399990000003,
data/Room1_56x55.txt,002.path,1,1,33,34,32,156,5.746623600000021,
data/Room1_56x55.txt,002.path,1,2,33,35,1531,6913,130.3841865,
data/Room1_56x55.txt,003.path,3,1,33,34,29,133,4.960081699999989,
data/Room1_56x55.txt,003.path,3,2,33,35,1242,5583,118.4863297,
data/Room1_56x55.txt,003.path,2,1,33,34,32,146,4.2357311000000095,
data/Room1_56x55.txt,003.path,2,2,33,35,1483,6639,107.2618339,
data/Room1_56x55.txt,003.path,4,1,32,33,33,153,4.831835800000022,
data/Room1_56x55.txt,003.path,4,2,32,34,1554,7054,109.58874279999998,
data/Room1_56x55.txt,003.path,1,1,33,34,31,151,5.155348300000014,
data/Room1_56x55.txt,003.path,1,2,33,35,1520,6871,122.7148659,
data/Room1_56x55.txt,004.path,1,1,33,34,31,142,5.044696499999986,
data/Room1_56x55.txt,004.path,1,2,33,35,1398,6298,114.3907241,
