map_file_name,paths_file_name,adv_agent_id,adv_damage_steps,ms_original_path,ms_mdr_path,mdr_expanded_nodes,mdr_visited_nodes,mdr_run_time_seconds,comment
data/Room1_56x55.txt,000.path,1,1,9,9,8,43,0.6784205999999999,
data/Room1_56x55.txt,000.path,1,2,9,10,148,750,2.0919041000000007,
data/Room1_56x55.txt,000.path,2,1,9,10,8,43,0.6752409000000004,
data/Room1_56x55.txt,000.path,2,2,9,11,148,751,2.1291106000000006,
data/Room1_56x55.txt,000.path,3,1,8,9,9,51,0.6782447999999999,
data/Room1_56x55.txt,000.path,3,2,8,10,182,975,2.2245782999999992,
data/Room1_56x55.txt,001.path,1,1,9,9,8,43,0.7009448999999996,
data/Room1_56x55.txt,001.path,1,2,9,10,148,750,2.1150925999999988,
data/Room1_56x55.txt,001.path,3,1,8,9,9,51,0.6955690000000008,
data/Room1_56x55.txt,001.path,3,2,8,10,182,975,2.242182200000001,
data/Room1_56x55.txt,001.path,2,1,9,10,8,43,0.6758265999999988,
data/Room1_56x55.txt,001.path,2,2,9,11,148,751,2.0727142999999995,
data/Room1_56x55.txt,002.path,1,1,9,9,8,43,0.6931985000000003,
data/Room1_56x55.txt,002.path,1,2,9,10,148,750,2.0069000999999993,
data/Room1_56x55.txt,002.path,3,1,8,9,9,51,0.6865559999999995,
data/Room1_56x55.txt,002.path,3,2,8,10,182,975,2.1622158999999996,
data/Room1_56x55.txt,002.path,2,1,9,10,8,43,0.6866985000000003,
data/Room1_56x55.txt,002.path,2,2,9,11,148,751,2.2316360000000017,
data/Room1_56x55.txt,003.path,1,1,9,9,8,43,0.7100116000000014,
data/Room1_56x55.txt,003.path,1,2,9,10,148,750,2.2598844000000007,
data/Room1_56x55.txt,003.path,2,1,9,10,8,43,0.7016226999999997,
data/Room1_56x55.txt,003.path,2,2,9,11,148,751,2.160635599999999,
data/Room1_56x55.txt,003.path,3,1,8,9,9,51,0.699697699999998,
data/Room1_56x55.txt,003.path,3,2,8,10,182,975,2.3533700000000017,
data/Room1_56x55.txt,004.path,1,1,9,9,8,43,0.7185556999999996,
data/Room1_56x55.txt,004.path,1,2,9,10,148,750,2.1776503,
data/Room1_56x55.txt,004.path,3,1,8,9,9,51,0.7245832000000014,
data/Room1_56x55.txt,004.path,3,2,8,10,182,975,2.3523259000000003,
data/Room1_56x55.txt,004.path,2,1,9,10,8,43,0.7116363000000003,
data/Room1_56x55.txt,004.path,2,2,9,11,148,751,2.236339799999998,
data/Room1_56x55.txt,005.path,2,1,9,10,8,43,0.7093280999999969,
data/Room1_56x55.txt,005.path,2,2,9,11,148,751,2.2316006,
data/Room1_56x55.txt,005.path,1,1,9,9,8,43,0.7593896000000022,
data/Room1_56x55.txt,005.path,1,2,9,10,148,750,2.260486499999999,
data/Room1_56x55.txt,005.path,3,1,8,9,9,51,0.6983609999999985,
data/Room1_56x55.txt,005.path,3,2,8,10,182,975,2.4404341999999986,
data/Room1_56x55.txt,006.path,2,1,9,10,8,43,0.7901640000000008,
data/Room1_56x55.txt,006.path,2,2,9,11,148,751,2.2165967,
data/Room1_56x55.txt,006.path,1,1,9,9,8,43,0.712764700000001,
data/Room1_56x55.txt,006.path,1,2,9,10,148,750,2.2431513999999986,
data/Room1_56x55.txt,006.path,3,1,8,9,9,51,0.7304296000000008,
data/Room1_56x55.txt,006.path,3,2,8,10,182,975,2.443612999999999,
data/Room1_56x55.txt,007.path,1,1,9,9,8,43,0.690934900000002,
data/Room1_56x55.txt,007.path,1,2,9,10,148,750,2.3328969000000015,
data/Room1_56x55.txt,007.path,3,1,8,9,9,51,0.7746837000000006,
data/Room1_56x55.txt,007.path,3,2,8,10,182,975,2.3337493999999985,
data/Room1_56x55.txt,007.path,2,1,9,10,8,43,0.7007450000000013,
data/Room1_56x55.txt,007.path,2,2,9,11,148,751,2.348864899999999,
data/Room1_56x55.txt,008.path,1,1,9,9,8,43,0.6881683999999986,
data/Room1_56x55.txt,008.path,1,2,9,10,148,750,1.8193199,
data/Room1_56x55.txt,008.path,3,1,8,9,9,51,0.5672406000000016,
data/Room1_56x55.txt,008.path,3,2,8,10,182,975,1.8242303,
data/Room1_56x55.txt,008.path,2,1,9,10,8,43,0.7066965000000032,
data/Room1_56x55.txt,008.path,2,2,9,11,148,751,1.8941486999999988,
data/Room1_56x55.txt,009.path,3,1,8,9,9,51,0.5129251000000004,
data/Room1_56x55.txt,009.path,3,2,8,10,182,975,1.7343896999999977,
data/Room1_56x55.txt,009.path,1,1,9,9,8,43,0.6282707999999992,
data/Room1_56x55.txt,009.path,1,2,9,10,148,750,1.8314480999999994,
data/Room1_56x55.txt,009.path,2,1,9,9,8,43,0.5283376000000004,
data/Room1_56x55.txt,009.path,2,2,9,10,148,751,1.6740902999999996,
