map_file_name,paths_file_name,adv_agent_id,adv_damage_steps,ms_original_path,ms_mdr_path,mdr_expanded_nodes,mdr_visited_nodes,mdr_run_time_seconds,comment
data/Room1_56x55.txt,002.path,4,1,9,9,9,49,0.9641883,
data/Room1_56x55.txt,002.path,4,2,9,9,201,1064,2.9468745000000007,
data/Room1_56x55.txt,002.path,1,1,9,10,8,43,0.9208362999999995,
data/Room1_56x55.txt,002.path,1,2,9,11,148,750,3.360658899999999,
data/Room1_56x55.txt,002.path,2,1,9,10,8,43,1.0348852999999991,
data/Room1_56x55.txt,002.path,2,2,9,11,148,751,2.468981800000001,
data/Room1_56x55.txt,002.path,5,1,9,10,6,31,1.044639,
data/Room1_56x55.txt,002.path,5,2,9,11,96,486,2.8474971,
data/Room1_56x55.txt,002.path,3,1,9,10,9,51,1.161330099999999,
data/Room1_56x55.txt,002.path,3,2,9,11,184,986,3.0459019000000005,
data/Room1_56x55.txt,003.path,5,1,9,10,6,31,0.8522664999999998,
data/Room1_56x55.txt,003.path,5,2,9,11,96,486,2.5290812000000003,
data/Room1_56x55.txt,003.path,1,1,9,10,8,43,0.9358511000000007,
data/Room1_56x55.txt,003.path,1,2,9,11,148,750,3.354111999999999,
data/Room1_56x55.txt,003.path,4,1,9,9,9,49,1.018137600000001,
data/Room1_56x55.txt,003.path,4,2,9,9,201,1064,2.965183800000001,
data/Room1_56x55.txt,003.path,2,1,9,10,8,43,0.9198661999999995,
data/Room1_56x55.txt,003.path,2,2,9,11,148,751,3.409813400000001,
data/Room1_56x55.txt,003.path,3,1,9,10,9,51,1.0370766000000007,
data/Room1_56x55.txt,003.path,3,2,9,11,184,986,3.1510976999999993,
data/Room1_56x55.txt,004.path,5,1,9,10,6,31,1.0488944,
data/Room1_56x55.txt,004.path,5,2,9,11,96,486,2.7924262000000013,
data/Room1_56x55.txt,004.path,4,1,9,9,9,49,1.239701499999999,
data/Room1_56x55.txt,004.path,4,2,9,9,201,1064,3.763099999999998,
data/Room1_56x55.txt,004.path,1,1,9,10,8,43,1.1164825999999977,
data/Room1_56x55.txt,004.path,1,2,9,11,148,750,2.9677045999999994,
data/Room1_56x55.txt,004.path,2,1,9,10,8,43,1.1655519999999981,
data/Room1_56x55.txt,004.path,2,2,9,11,148,751,3.365320699999998,
data/Room1_56x55.txt,004.path,3,1,9,10,9,51,1.2593645000000002,
data/Room1_56x55.txt,004.path,3,2,9,11,184,986,3.0525524000000033,
data/Room1_56x55.txt,005.path,5,1,9,10,6,31,1.0739018999999992,
data/Room1_56x55.txt,005.path,5,2,9,11,96,486,3.1447085,
data/Room1_56x55.txt,005.path,2,1,9,10,8,43,1.2973217999999989,
data/Room1_56x55.txt,005.path,2,2,9,11,148,751,3.1502833999999993,
data/Room1_56x55.txt,005.path,3,1,9,10,9,51,1.0374385000000004,
data/Room1_56x55.txt,005.path,3,2,9,11,184,986,3.6286755,
data/Room1_56x55.txt,005.path,1,1,9,10,8,43,1.2693303999999976,
data/Room1_56x55.txt,005.path,1,2,9,11,148,750,3.0847280999999995,
data/Room1_56x55.txt,005.path,4,1,9,9,9,49,1.0338014999999992,
data/Room1_56x55.txt,005.path,4,2,9,9,201,1064,3.6040677999999993,
data/Room1_56x55.txt,006.path,1,1,9,10,8,43,1.0265138,
data/Room1_56x55.txt,006.path,1,2,9,11,148,750,3.0355298000000026,
data/Room1_56x55.txt,006.path,5,1,9,10,6,31,1.1510700000000007,
data/Room1_56x55.txt,006.path,5,2,9,11,96,486,2.8577115999999982,
data/Room1_56x55.txt,006.path,4,1,9,9,9,49,1.0922981000000007,
data/Room1_56x55.txt,006.path,4,2,9,9,201,1064,3.5561782000000015,
data/Room1_56x55.txt,006.path,3,1,9,10,9,51,1.1478301999999978,
data/Room1_56x55.txt,006.path,3,2,9,11,184,986,3.3120185999999947,
data/Room1_56x55.txt,006.path,2,1,9,10,8,43,1.098437699999998,
data/Room1_56x55.txt,006.path,2,2,9,11,148,751,3.073627100000003,
data/Room1_56x55.txt,007.path,1,1,9,10,8,43,1.0310135000000002,
data/Room1_56x55.txt,007.path,1,2,9,11,148,750,3.297416600000002,
data/Room1_56x55.txt,007.path,5,1,9,10,6,31,1.0995593000000028,
data/Room1_56x55.txt,007.path,5,2,9,11,96,486,2.8722165000000004,
data/Room1_56x55.txt,007.path,2,1,9,10,8,43,1.127689199999999,
data/Room1_56x55.txt,007.path,2,2,9,11,148,751,3.148637700000002,
data/Room1_56x55.txt,007.path,4,1,9,9,9,49,1.1767697000000013,
data/Room1_56x55.txt,007.path,4,2,9,9,201,1064,3.496520699999998,
data/Room1_56x55.txt,007.path,3,1,9,10,9,51,1.117627800000001,
data/Room1_56x55.txt,007.path,3,2,9,11,184,986,2.8153334,
data/Room1_56x55.txt,008.path,4,1,9,9,9,49,1.0831222999999994,
data/Room1_56x55.txt,008.path,4,2,9,9,201,1064,3.481964699999999,
data/Room1_56x55.txt,008.path,5,1,9,10,6,31,1.0749989999999983,
data/Room1_56x55.txt,008.path,5,2,9,11,96,486,2.262810200000004,
data/Room1_56x55.txt,008.path,3,1,9,10,9,51,0.688459800000004,
data/Room1_56x55.txt,008.path,3,2,9,11,184,986,3.384678600000001,
data/Room1_56x55.txt,008.path,2,1,9,10,8,43,0.8145743999999979,
data/Room1_56x55.txt,008.path,2,2,9,11,148,751,2.152822999999998,
data/Room1_56x55.txt,008.path,1,1,9,10,8,43,0.5527270999999985,
data/Room1_56x55.txt,008.path,1,2,9,11,148,750,1.3945963999999975,
