"((19,15),0)","((20,15),1)","((21,15),2)","((22,15),3)","((23,15),4)","((24,15),5)","((25,15),6)","((26,15),7)","((27,15),8)","((28,15),9)","((29,15),10)","((30,15),11)","((31,15),12)","((32,16),13)","((33,17),14)","((34,18),15)","((35,19),16)","((36,20),17)","((37,21),18)","((38,22),19)","((39,23),20)","((40,23),21)","((41,24),22)","((41,25),23)","((42,26),24)","((43,27),25)","((44,28),26)","((45,29),27)","((46,30),28)","((47,31),29)","((48,32),30)","((49,33),31)","((50,34),32)","((51,35),33)",,,,,,,,
"((20,15),0)","((20,15),1)","((20,15),2)","((20,15),3)","((19,15),4)","((20,16),5)","((21,16),6)","((22,16),7)","((23,16),8)","((24,16),9)","((25,16),10)","((26,16),11)","((27,16),12)","((28,16),13)","((29,16),14)","((30,16),15)","((31,16),16)","((32,16),17)","((33,16),18)","((34,17),19)","((35,18),20)","((36,19),21)","((37,20),22)","((38,21),23)","((39,22),24)","((40,23),25)","((41,24),26)","((42,25),27)","((43,26),28)","((44,27),29)","((45,28),30)","((46,29),31)","((47,30),32)","((48,31),33)","((49,32),34)","((50,33),35)","((51,34),36)","((52,35),37)",,,,
"((18,15),0)","((18,15),1)","((18,15),2)","((18,15),3)","((18,15),4)","((18,15),5)","((17,15),6)","((18,16),7)","((19,16),8)","((20,16),9)","((21,16),10)","((22,16),11)","((23,16),12)","((24,16),13)","((25,16),14)","((26,16),15)","((27,16),16)","((28,16),17)","((29,16),18)","((30,16),19)","((31,16),20)","((32,16),21)","((33,17),22)","((34,18),23)","((35,19),24)","((36,20),25)","((37,21),26)","((38,22),27)","((39,23),28)","((40,23),29)","((41,24),30)","((42,25),31)","((43,26),32)","((44,27),33)","((45,28),34)","((46,29),35)","((47,30),36)","((48,31),37)","((49,32),38)","((49,33),39)","((49,34),40)","((50,35),41)"
